106357 97425.13 31.92 -0.13 -0.88 -0.41 0.93 1.80 -0.33;
106513 97424.86 31.94 -0.15 -0.88 -0.43 1.02 1.90 -0.48;
106669 97422.75 31.95 -0.14 -0.88 -0.42 1.69 1.87 -0.98;
106825 97423.94 31.94 -0.14 -0.88 -0.42 0.63 2.01 -0.28;
106981 97422.23 31.96 -0.14 -0.88 -0.43 1.64 2.12 -0.94;
107138 97422.91 31.97 -0.13 -0.88 -0.42 1.24 1.45 -0.16;
107293 97420.58 31.98 -0.15 -0.88 -0.43 1.07 2.24 -0.61;
107449 97422.23 31.99 -0.13 -0.88 -0.42 2.06 2.30 -1.05;
107606 97425.58 32.00 -0.14 -0.88 -0.42 0.99 2.25 -0.06;
107761 97421.74 32.00 -0.17 -0.87 -0.43 1.86 -0.49 -4.50;
107917 97423.49 32.01 -0.54 -4.00 -1.70 3.91 16.83 7.70;
108074 97418.36 32.02 -1.34 -4.00 -3.77 8.82 64.00 64.00;
108230 97391.08 32.03 -0.38 -4.00 -1.81 6.20 33.88 62.60;
108386 97334.86 32.04 -0.29 -3.05 -1.08 27.66 64.00 -45.44;
108544 97297.06 32.04 -0.38 -2.76 -1.13 8.34 42.06 59.21;
108701 97226.34 32.05 -0.08 -1.34 -0.52 12.60 64.00 -18.57;
108858 97183.25 32.07 0.02 0.15 -0.08 8.95 64.00 26.77;
109014 97145.08 32.07 0.08 0.05 -0.06 -20.30 57.40 35.41;
109171 97084.95 32.08 0.09 0.08 0.07 13.00 48.69 11.07;
109328 97049.39 32.09 0.06 0.13 0.03 42.51 41.84 19.24;
109484 97003.45 32.10 0.09 0.12 -0.00 -9.39 49.33 -4.00;
109640 96970.13 32.11 0.04 0.09 0.04 -10.25 42.75 0.27;
109795 96938.77 32.11 0.02 0.07 0.06 49.74 10.37 31.44;
109954 96892.95 32.13 0.12 0.10 -0.09 5.93 28.14 28.50;
110110 96869.58 32.14 0.11 0.06 -0.00 -32.07 47.46 -9.55;
110266 96849.35 32.14 0.07 0.03 0.04 6.05 44.39 -15.96;
110422 96821.20 32.15 0.03 0.02 0.01 36.94 28.90 6.39;
110578 96803.34 32.15 0.03 0.01 0.00 21.79 10.67 22.71;
110734 96790.11 32.17 0.07 -0.00 -0.01 16.43 -0.08 19.07;
110889 96767.44 32.18 0.08 -0.03 -0.02 11.17 12.33 6.98;
111045 96757.45 32.18 0.07 -0.03 -0.01 12.41 22.62 -7.07;
111202 96747.03 32.20 0.07 -0.04 -0.00 16.60 17.87 -17.92;
111360 96742.99 32.21 0.07 -0.05 -0.00 22.48 7.10 -24.23;
111516 96736.81 32.22 0.07 -0.04 -0.00 25.17 -0.59 -29.18;
111672 96730.70 32.23 0.08 -0.05 0.00 25.96 -9.03 -36.24;
111829 96732.05 32.24 0.12 -0.06 0.01 18.31 -44.33 -54.44;
111985 96732.34 32.25 0.16 -0.09 0.04 -9.83 -64.00 -64.00;
112143 96733.51 32.27 0.25 -0.06 -0.04 -33.55 -64.00 -64.00;
112299 96738.09 32.27 0.35 -0.03 -0.13 8.53 64.00 -24.14;
112455 96748.80 32.28 0.39 -0.10 0.12 64.00 64.00 64.00;
112612 96754.05 32.29 0.05 -0.21 0.47 64.00 64.00 64.00;
112771 96759.77 32.30 -1.51 -2.32 -1.24 -12.61 64.00 64.00;
112927 96752.05 32.31 1.31 4.00 -1.20 -64.00 -64.00 -64.00;
113084 96795.63 32.32 -0.40 1.99 0.37 64.00 64.00 64.00;
113241 96812.80 32.32 -0.02 1.22 -0.19 -64.00 64.00 64.00;
113398 96820.63 32.33 -1.22 2.21 -2.41 -64.00 64.00 64.00;
113555 96827.47 32.34 -0.43 1.81 0.61 64.00 -64.00 -64.00;
113712 96825.13 32.35 -0.34 2.25 -0.62 -64.00 64.00 64.00;
113869 96833.95 32.35 0.09 1.33 0.36 64.00 -64.00 -64.00;
114028 96839.46 32.36 -0.86 2.39 0.89 64.00 64.00 64.00;
114186 96844.30 32.36 -0.42 0.25 0.42 -64.00 -64.00 64.00;
114342 96854.06 32.37 -1.58 2.06 -2.36 -64.00 -64.00 -64.00;
114499 96865.22 32.38 0.16 1.08 0.68 -58.13 64.00 -64.00;
114656 96871.23 32.39 -0.16 1.38 -0.37 64.00 64.00 64.00;
114812 96874.48 32.39 -1.08 2.43 -1.09 64.00 64.00 64.00;
114969 96875.15 32.41 0.01 0.50 -0.09 64.00 -64.00 64.00;
115126 96882.30 32.41 0.02 1.11 0.03 -64.00 64.00 -64.00;
115283 96881.30 32.42 -0.31 1.98 -0.33 -64.00 -64.00 -64.00;
115442 96897.14 32.43 -0.17 1.61 -0.44 64.00 -64.00 -64.00;
115599 96899.70 32.44 -0.70 1.91 -0.87 -64.00 -64.00 -64.00;
115756 96908.97 32.45 -0.01 1.09 -0.60 64.00 64.00 64.00;
115913 96917.08 32.45 0.06 0.93 -0.24 -64.00 64.00 64.00;
116070 96919.55 32.46 -0.44 1.23 -0.65 -64.00 64.00 -64.00;
116227 96929.75 32.46 0.06 2.01 0.21 64.00 64.00 -64.00;
116384 96935.37 32.47 -0.40 1.48 0.42 -64.00 -47.00 -3.98;
116540 96945.92 32.48 -0.27 1.94 0.52 -64.00 64.00 64.00;
116697 96958.95 32.49 -0.07 1.62 0.08 -64.00 64.00 -64.00;
116856 96961.43 32.50 -0.24 1.58 0.31 -64.00 64.00 -64.00;
117013 96972.63 32.51 -0.53 1.71 0.02 -64.00 64.00 -26.56;
117170 96981.98 32.52 0.03 1.93 0.10 -64.00 64.00 -64.00;
117327 96987.44 32.53 -0.49 1.57 -0.11 -64.00 64.00 -42.93;
117484 96996.45 32.54 0.30 1.36 -0.04 -64.00 64.00 -64.00;
117641 97003.08 32.54 -0.25 1.81 0.13 -64.00 64.00 -64.00;
117798 97014.27 32.54 0.16 1.67 0.25 -64.00 -64.00 -64.00;
117955 97021.25 32.54 0.13 1.91 0.32 -64.00 64.00 64.00;
118113 97019.95 32.54 -0.05 1.94 -0.17 -64.00 -24.72 -64.00;
118270 97031.72 32.55 -0.13 2.25 0.17 -64.00 -64.00 -11.39;
118426 97034.80 32.55 -0.20 1.51 0.35 -64.00 64.00 64.00;
118583 97044.13 32.57 -0.19 1.69 0.14 -64.00 12.58 -64.00;
118740 97053.95 32.59 -0.10 1.66 -0.14 -64.00 64.00 -64.00;
118897 97058.53 32.60 -0.32 1.74 0.21 -64.00 64.00 -64.00;
119054 97068.20 32.61 -0.28 2.60 0.11 -64.00 -64.00 -64.00;
119211 97076.16 32.61 0.29 1.81 0.61 -64.00 64.00 -64.00;
119367 97084.73 32.61 -0.28 1.73 -0.05 -64.00 64.00 -64.00;
119527 97090.70 32.62 -0.02 1.80 0.37 -64.00 -64.00 -64.00;
119683 97100.09 32.63 0.23 1.68 0.31 -64.00 -44.04 -64.00;
119840 97108.12 32.64 -0.42 1.79 0.12 -64.00 64.00 42.22;
119996 97110.09 32.65 -0.29 1.77 -0.06 -64.00 64.00 -53.67;
120153 97115.61 32.66 -0.30 1.99 0.23 -64.00 64.00 -64.00;
120310 97125.64 32.67 -0.10 2.26 0.35 -64.00 -64.00 -64.00;
120467 97138.01 32.67 -0.22 1.50 0.07 -64.00 64.00 4.59;
120623 97142.05 32.67 -0.23 1.17 0.50 -64.00 64.00 42.83;
120779 97146.54 32.68 -0.21 1.49 -0.10 -64.00 38.14 -24.25;
120947 97156.13 32.69 -0.32 1.55 0.18 -64.00 64.00 -64.00;
121108 97168.41 32.70 -0.04 1.71 0.25 -64.00 64.00 -64.00;
121268 97170.64 32.71 -0.03 2.03 0.30 -64.00 -64.00 -64.00;
121428 97181.69 32.71 -0.53 2.16 -0.29 -64.00 64.00 64.00;
121588 97187.50 32.72 -0.16 2.13 0.57 -29.68 64.00 26.45;
121747 97193.52 32.72 -0.04 1.77 0.57 -64.00 -64.00 52.23;
121906 97200.38 32.73 -0.17 1.92 -0.16 -64.00 64.00 6.79;
122065 97207.03 32.73 -0.14 1.85 0.40 -64.00 64.00 -22.66;
122227 97219.16 32.74 -0.17 1.63 0.42 -64.00 64.00 64.00;
122386 97227.16 32.75 -0.10 1.63 0.20 -64.00 7.60 -30.02;
122545 97232.34 32.76 -0.31 1.64 0.07 -64.00 64.00 -64.00;
122705 97238.34 32.76 -0.19 1.98 0.50 -64.00 64.00 6.04;
122864 97251.61 32.77 -0.09 2.01 0.45 -64.00 64.00 -62.00;
123024 97260.64 32.78 -0.19 1.91 0.01 -64.00 14.11 -64.00;
123183 97265.33 32.78 -0.02 2.22 0.14 -64.00 -40.50 -64.00;
123343 97274.70 32.79 -0.09 2.32 0.18 -64.00 64.00 -64.00;
123503 97278.77 32.80 0.07 1.73 0.55 -64.00 64.00 -64.00;
123664 97285.38 32.81 -0.25 1.68 0.27 -64.00 64.00 1.98;
123823 97290.19 32.81 0.16 1.51 0.23 -64.00 64.00 -64.00;
123982 97296.81 32.82 -0.11 2.01 0.19 -64.00 -8.29 -64.00;
124141 97304.06 32.82 -0.41 1.67 0.26 -64.00 64.00 64.00;
124301 97305.00 32.82 -0.27 1.79 0.31 -64.00 25.05 -45.83;
124461 97326.41 32.82 0.04 2.27 0.19 -64.00 -64.00 -64.00;
124621 97330.48 32.83 -0.16 1.76 -0.10 -64.00 64.00 -42.55;
124781 97336.30 32.83 0.22 1.84 0.31 -64.00 64.00 44.83;
124940 97349.72 32.83 -0.35 1.75 0.20 -64.00 64.00 -53.15;
125101 97349.75 32.84 -0.09 1.94 0.44 -64.00 -64.00 -64.00;
125261 97359.32 32.84 -0.16 1.84 0.06 -64.00 64.00 63.46;
125421 97367.14 32.85 -0.18 1.80 0.26 -64.00 64.00 -0.59;
125580 97375.84 32.85 -0.02 1.67 0.39 -64.00 -64.00 -64.00;
125740 97380.09 32.86 -0.29 1.66 -0.13 -64.00 64.00 64.00;
125900 97386.55 32.85 -0.04 1.72 0.57 -64.00 64.00 3.26;
126059 97395.64 32.86 -0.02 1.69 0.26 -64.00 -64.00 11.75;
126219 97400.03 32.87 -0.10 1.94 0.00 -64.00 64.00 -64.00;
126379 97414.02 32.88 -0.09 1.87 -0.00 -64.00 64.00 -64.00;
126541 97424.22 32.88 -0.13 1.38 0.30 -46.84 64.00 64.00;
126701 97429.11 32.89 0.28 0.24 -0.22 -64.00 -64.00 -64.00;
126862 97430.65 32.89 -0.24 0.03 -0.49 -64.00 64.00 64.00;
127021 97430.05 32.90 -0.19 0.22 -0.90 -41.51 -64.00 -56.33;
127180 97428.95 32.90 -0.24 0.38 -0.88 1.30 2.76 -0.44;
127339 97427.84 32.90 -0.24 0.38 -0.88 1.45 2.42 -0.61;
127498 97429.59 32.91 -0.24 0.38 -0.88 1.33 2.42 -0.76;
127657 97429.92 32.91 -0.24 0.38 -0.88 1.35 2.53 -0.71;
127816 97428.59 32.92 -0.24 0.38 -0.88 1.03 2.16 -0.42;
127973 97428.70 32.92 -0.24 0.38 -0.88 1.39 2.54 -0.56;
128132 97429.10 32.93 -0.24 0.38 -0.88 1.23 2.58 -0.32;
128291 97429.17 32.94 -0.24 0.38 -0.88 1.28 2.40 -0.30;
128450 97430.02 32.94 -0.24 0.38 -0.88 1.47 2.85 -0.46;
128609 97431.08 32.94 -0.23 0.38 -0.88 1.29 2.46 -0.82;
128768 97431.66 32.95 -0.24 0.38 -0.88 1.48 2.33 -0.60;
